carrier_name,flights,delayed,delay_hours,cancelled,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,delay_rate,cancellation_rate,late_aircraft_share,delay_hours_per_1k_flights,cluster
Republic Airline,2140483.0,324844.0,360292.69999999995,63587.0,5797260.4399999995,1203152.5199999998,6346929.239999998,7586755.88,0.15176200885501076,0.029706846538841935,0.362411404160193,168.32308408896492,0
SkyWest Airlines Inc.,13606982.0,2357200.0,2418153.683333332,264430.0,54466775.04,9542879.919999994,21724502.519999992,51390791.79999998,0.17323459382837428,0.019433405585456056,0.3747734607730897,177.71418256695952,0
Southwest Airlines,9012754.0,1701556.0,1366122.3499999994,225012.0,26842938.56,2032930.7999999996,12950457.359999998,38688630.91999998,0.18879423536912246,0.0249659538027999,0.48051482673549084,151.5765713787372,2
Southwest Airlines Co.,16808156.0,3159243.0,2473069.1999999993,170923.0,38338116.48,5249909.959999997,21750677.56,79350893.03999996,0.18795892898661817,0.010169051262970191,0.5484215497404635,147.13506942700909,2
Spirit Air Lines,412396.0,97462.0,105968.63333333333,9774.0,1243322.0,120597.0,3205424.2399999998,1755032.0,0.23633109923471615,0.023700520858592228,0.27750282571784907,256.9584412393266,1
Spirit Airlines,1482404.0,317738.0,363563.8833333333,30981.0,5789708.76,814224.72,8575491.239999998,6279766.52,0.21433968068084003,0.02089916109238777,0.2926376138675019,245.25290226775786,1
Trans States Airlines,178098.0,43815.0,62186.53333333333,7672.0,1097827.3599999999,154826.03999999998,648638.08,1821619.3199999998,0.24601623825085064,0.04307740682096374,0.4892997490028501,349.1703069845441,1
US Airways Inc.,5188612.0,997160.0,777596.1666666664,76465.0,13365479.6,1425444.2399999998,15559087.839999996,15489981.439999998,0.192182417956864,0.014737081901672354,0.33791413099583817,149.86593074731093,0
United Air Lines Inc.,7008520.0,1411383.0,1276400.6166666658,102651.0,21491694.599999998,2732176.6799999992,19258577.999999993,31902428.759999987,0.20138103337081154,0.014646601564952372,0.42319400905672666,182.121277625899,2
United Air Lines Network,4183672.0,780801.0,773330.7166666661,74810.0,13809355.399999999,2432534.799999999,10147614.519999996,19494340.47999999,0.18663054847511945,0.01788142091445027,0.4248628334226879,184.84496792928942,2
Virgin America,389060.0,79576.0,81281.28333333333,3550.0,837394.0,245371.36,1724555.2799999993,1692431.0,0.20453400503778338,0.009124556623657019,0.3761165360673107,208.91709076577732,2
