month_ts,total_flights,total_delayed,total_delay_hours,total_cancelled,delay_rate
2020-01-01,660556.0,92164.0,94757.06666666664,8416.0,0.13952488509679725
2020-02-01,623103.0,93744.0,100797.9333333333,6095.0,0.1504470368462357
2020-03-01,701274.0,58557.0,58015.73333333332,118276.0,0.08350088553119038
2020-04-01,331238.0,9477.0,9777.583333333334,136848.0,0.02861084778920293
2020-05-01,192412.0,8339.0,8567.516666666666,12261.0,0.04333929276760285
2020-06-01,237264.0,15945.0,14941.316666666666,1030.0,0.06720362128262189
2020-07-01,370859.0,31524.0,33003.88333333333,2926.0,0.08500265599594455
2020-08-01,398470.0,30794.0,30011.76666666666,4327.0,0.07728059828845334
2020-09-01,345294.0,21497.0,20846.716666666664,2523.0,0.06225709105863409
2020-10-01,374538.0,31339.0,30766.26666666666,1994.0,0.08367375273003007
2020-11-01,389587.0,29470.0,27903.2,2106.0,0.0756442078406107
2020-12-01,397802.0,46105.0,44032.81666666665,4253.0,0.1158993670217847
2021-01-01,379384.0,36949.0,39679.399999999994,4155.0,0.09739208822723151
2021-02-01,350170.0,48833.0,52405.93333333332,20201.0,0.13945512179798383
2021-03-01,467126.0,47012.0,46915.649999999994,5904.0,0.10064094055993458
2021-04-01,473936.0,50043.0,52653.33333333332,2561.0,0.10559020627257688
2021-05-01,520059.0,68339.0,69917.8333333333,2350.0,0.13140624429151307
2021-06-01,573779.0,134685.0,142661.94999999992,9196.0,0.23473323352719427
2021-07-01,615703.0,151268.0,161143.41666666657,10195.0,0.2456833895563283
2021-08-01,611494.0,136036.0,142202.38333333324,18734.0,0.22246497921484104
2021-09-01,567916.0,78984.0,82382.93333333332,7776.0,0.1390769057395812
2021-10-01,595373.0,105648.0,105969.04999999996,12614.0,0.17744842308939102
2021-11-01,576693.0,86010.0,82758.71666666665,3559.0,0.14914347841919356
2021-12-01,580238.0,124252.0,124356.69999999994,13773.0,0.21413971508243168
2022-01-01,563737.0,102515.0,110865.91666666661,35667.0,0.1818489827703344
2022-02-01,519952.0,97316.0,102612.69999999995,23421.0,0.18716343047050496
2022-03-01,590542.0,124328.0,127745.86666666661,9108.0,0.2105320197378002
2022-04-01,580290.0,124689.0,129827.84999999993,13397.0,0.21487359768391667
2022-05-01,602950.0,123950.0,126248.91666666661,11993.0,0.20557260137656522
2022-06-01,602057.0,139076.0,143559.7166666666,18473.0,0.23100138358992586
2022-07-01,618790.0,142088.0,144243.1166666666,11133.0,0.2296223274454985
2022-08-01,613649.0,132541.0,135945.34999999992,15483.0,0.2159882929818186
2022-09-01,580391.0,93938.0,93345.9333333333,8858.0,0.16185295774744957
2022-10-01,595322.0,93056.0,92019.54999999997,4878.0,0.15631204625396003
2022-11-01,567507.0,106213.0,105560.93333333329,6440.0,0.18715716281913702
2022-12-01,578321.0,146595.0,155424.7499999999,31187.0,0.2534837918733714
2023-01-01,573877.0,124293.0,131296.23333333328,11032.0,0.21658473854153415
2023-02-01,536229.0,99454.0,102987.86666666662,9686.0,0.18546926779417003
2023-03-01,616234.0,142566.0,136663.4166666666,7847.0,0.23135042857096494
2023-04-01,596676.0,133101.0,136979.69999999992,10323.0,0.22307081230014278
2023-05-01,616630.0,110487.0,108270.03333333328,3833.0,0.17917876198044208
2023-06-01,613577.0,160658.0,166010.36666666655,12856.0,0.2618383674746609
2023-07-01,638995.0,175807.0,184537.3333333332,15875.0,0.2751304783292514
2023-08-01,640236.0,134883.0,140826.88333333324,9475.0,0.2106770003561187
2023-09-01,604715.0,110457.0,117919.26666666662,7492.0,0.1826595999768486
2023-10-01,635538.0,97977.0,94840.79999999997,2189.0,0.15416387375735205
2023-11-01,599814.0,80737.0,77925.59999999999,827.0,0.13460339371871946
2023-12-01,606218.0,94119.0,97306.9333333333,2462.0,0.15525603000900667
2024-01-01,582425.0,134575.0,148085.63333333324,22073.0,0.23105979310640856
2024-02-01,552691.0,86079.0,86644.73333333331,3252.0,0.1557452536770094
2024-03-01,628786.0,127248.0,130192.84999999992,5377.0,0.202370917927562
2024-04-01,619920.0,115828.0,119940.33333333328,4225.0,0.18684346367273197
2024-05-01,649428.0,166497.0,170478.7999999999,9291.0,0.2563748406289843
2024-06-01,651799.0,157404.0,163000.23333333322,8315.0,0.2414916254857709
2024-07-01,676807.0,191746.0,201071.6833333332,19574.0,0.2833097175413375
2024-08-01,660639.0,150010.0,159638.73333333325,13434.0,0.22706803564427774
2024-09-01,621649.0,95112.0,90970.66666666663,3670.0,0.15299952223843358
2024-10-01,656283.0,84806.0,82937.68333333332,6314.0,0.12922169247108337
2024-11-01,614597.0,89260.0,87688.66666666664,2804.0,0.1452333805729608
2024-12-01,631944.0,132515.0,142492.83333333326,4579.0,0.20969421341131492
2025-01-01,599013.0,109605.0,117363.91666666663,18740.0,0.18297599551261826
